name,sex,event,equipment,age,age_class,division,bodyweight_kg,weight_class_kg,best3squat_kg,best3bench_kg,best3deadlift_kg,place,date,federation,meet_name
Jacek Spychała,M,SBD,Single-ply,21.5,20-23,Juniors,67.4,67.5,250,140,255,3,2000-09-13,IPF,World Juniors Powerlifting Championships
Denise Perez,F,SBD,Single-ply,NA,NA,Open,48,48,115,50,137.5,2,1981-05-11,IPF,Women's World Powerlifting Championship
Gabriel García,M,SBD,Raw,43.5,40-44,Masters 1,92.15,93,277.5,180,285,2,2019-06-04,IPF,World Classic Powerlifting Championships
Andriy Naniev,M,SBD,Single-ply,24.5,24-34,Middle,82,82.5,347.5,225,312.5,2,2009-07-25,IPF,World Games
Bob Eucker,M,SBD,Single-ply,21,20-23,Juniors,97.7,100,322.5,197.5,327.5,1,1994-06-18,IPF,World Juniors Powerlifting Championships
John Darby,M,SBD,Single-ply,41.5,40-44,Open,110,110,290,182.5,310,7,1979-11-02,IPF,Men's World Powerlifting Championships
Susan Elwyn,F,SBD,Raw,71,70-74,Masters 4,45.95,47,65,32.5,110,1,2019-06-04,IPF,World Classic Powerlifting Championships
Richard Batchelor,M,SBD,Single-ply,23.5,24-34,Open,67.1,67.5,240,135,260,8,1998-11-10,IPF,Men's World Powerlifting Championships
Svetlana Paltseva,F,B,Single-ply,35.5,35-39,Open,89.95,90,NA,150,NA,2,2005-01-12,IPF,World Open Bench Press Championships
Monika Sharma,F,B,Single-ply,32.5,24-34,Open,61.64,63,NA,40,NA,11,2019-05-18,IPF,World Bench Press Championships
Lars Mitbö,M,B,Single-ply,45.5,45-49,Masters 1,73.8,75,NA,147.5,NA,5,2002-04-18,IPF,World Masters Bench Press Championships
Jean-Yves Minelle,M,SBD,Raw,50,50-54,Masters 2,118.2,120,180,195,230,5,2016-06-19,IPF,World Classic Powerlifting Championships
Li-Min Lin,F,B,Single-ply,27.5,24-34,Open,54.9,56,NA,110,NA,2,1998-12-11,IPF,World Bench Press Championships
Adolfo Roman,M,SBD,Single-ply,30.5,24-34,Open,89.78,90,225,150,215,15,2009-11-02,IPF,World Powerlifting Championships
Zoe Clark,F,SBD,Raw,21.5,20-23,Open,68.8,72,107.5,65,125,7,2017-07-10,IPF,World University Powerlifting Cup
Erika Wimmer,F,B,Single-ply,66.5,65-69,Masters 2,65.9,67.5,NA,60,NA,5,2007-09-12,IPF,World Masters Bench Press Championships
Maxim Makariev,M,B,Single-ply,17.5,18-19,Sub-Juniors,80.1,83,NA,172.5,NA,1,2011-05-25,IPF,World Bench Press Championships
Erwin Breitenbach,M,SBD,Single-ply,49.5,45-49,Masters 2,87.45,90,212.5,100,245,5,1994-10-19,IPF,World Masters Powerlifting Championships
Len Skeen,M,SBD,Single-ply,NA,NA,Open,51.2,52,145,92.5,197.5,5,1979-11-02,IPF,Men's World Powerlifting Championships
